No,Brand,Model Insurance,Model TLS,CC
589,TOYOTA,TOYOTA MAJESTY 2.8 4 Doors, MAJESTY GRANDE Diesel 2.8 AT H1 Black Int. (White P.CS.),2800
626,TOYOTA,TOYOTA YARIS 1.2 4 Doors,YARIS 1.2 G,1200
631,VOLKSWAGEN,VOLKSWAGEN CARAVELLE 2.0 4 Doors,CARAVELLE 2.0 BiTDI T6 VIP 2018,2000
635,VOLKSWAGEN,VOLKSWAGEN CARAVELLE 3.2 4 Doors,CARAVELLE 3.2 V6 EXECUTIVE,3200
640,VOLVO,VOLVO TRUCK ไม่เกิน 12 ตัน,4x4 ชนิด 6 ล้อ Model FMX1344R43400ALHM,12800
641,VOLVO,VOLVO S90 2.0 4 Doors,S90 T8 Momentum,2000
642,VOLVO,VOLVO XC60 2.0 4 Doors,XC60 T5,2000
643,VOLVO,VOLVO XC90 2.4 4 Doors,XC90 D5 AWD 200hp,2400
644,LEXUS,LEXUS LS500 3.5 4 Doors,LEXUS LS 500h Executive,3500
645,LEXUS ,LEXUS RX300 2.0 4 Doors,RX 300 Luxury,2000
646,LEXUS ,LEXUS ES300 2.5 4 Doors,ES 300h Grand Luxury,2500
647,LEXUS ,LEXUS LM 300h 2.5 4 Doors,LM 300h Excutive ,2500
648,TOYOTA,TOYOTA MAJESTY  2.8 4 Doors,MAJESTY STANDARD Diesel 2.8 AT A1 Beige Int. (Black),2800
652,TOYOTA,TOYOTA SIENTA 1.5 4 Doors,SIENTA 1.5 G A2 (White),1500
655,TOYOTA,TOYOTA COASTER 4.0 2 Doors,COASTER 4.0 L DIESEL,4000
660,TOYOTA,TOYOTA COROLLA  1.6 4 Doors, COROLLA ALTIS 1.6G FMC'19 B1 (Beige Interior),1600
661,TOYOTA, TOYOTA HILUX REVO 2.4 4 Doors, HILUX REVO Double Cab Z Edition 2.4 E A6,2400
664,JEEP,JEEP WRANGLER  2.0 4 Doors,WRANGLER OVERLAND 2.0 CC. PETROL 4 DOORS,2000
666,TOYOTA,TOYOTA YARIS ATIV 1.2 4 Doors,YARIS ATIV 1.2 High IMP'19 C1,1200
667,TOYOTA,TOYOTA YARIS CROSS 1.2 4 Doors, YARIS 1.2 Mid CROSS IMP'19 BA,1200
668,TOYOTA,TOYOTA COROLLA CROSS 1.8 5 Doors, COROLLA CROSS 1.8 HV Smart (Black Int.) A1,1800
671,MAZDA,MAZDA CX-8 2.5 5 Doors, CX- 8 SKYACTIV-G 2.5 SP (7-SEAT),2500
672,TOYOTA, TOYOTA HILUX REVO 2.4 2 Doors, HILUX REVO Smart Cab Z Edition 2.4 Mid STD MT A1,2400
705,TOYOTA, TOYOTA HILUX REVO 2.8 4 Doors, HILUX REVO Double Cab 2.8 High MT 4x4 A1,2800
707,PORSCHE,PORSCHE Panamera 2.9 4 Doors, Panamera 4 e-hybrid Executive,2900
710,HONDA,HONDA HR-V 1.8 4 Doors, HR-V 1.8 E MODEL 2020,1800
711,MERCEDES BENZ,MERCEDES-BENZ E 300 e Avantgarde 2.0 4 Doors,E 300 e Avantgarde (Facelift) MC'21,2000
715,TOYOTA, TOYOTA HILUX REVO 2.8 2 Doors, HILUX REVO Smart Cab 2.8 High MT 4x4 A1,2800
