branch_name,location_name,can_origin,can_stopover,can_destination
Chiang Rai Branch,เมืองอุตรดิตถ์,1,1,1
Chiang Rai Branch,เมืองแพร่,1,1,1
Chiang Rai Branch,เมืองน่าน,1,1,1
Chiang Rai Branch,เมืองพะเยา,1,1,1
Chiang Rai Branch,เมืองเชียงราย,1,1,1
Chiang Rai Branch,สนามบินเชียงราย,1,1,1
Chiang Rai Branch,เมืองแม่ฮ่องสอน,1,1,1
Chiang Rai Branch,เมืองนครสวรรค์,1,1,1
Chiang Rai Branch,เมืองอุทัยธานี,1,1,1
Chiang Rai Branch,เมืองกำแพงเพชร,1,1,1
Chiang Rai Branch,เมืองตาก,1,1,1
Chiang Rai Branch,เมืองสุโขทัย,1,1,1
Chiang Rai Branch,เมืองพิษณุโลก,1,1,1
Chiang Rai Branch,เมืองพิจิตร,1,1,1
Chiang Rai Branch,เมืองเพชรบูรณ์,1,1,1
Chiang Rai Branch,เมืองราชบุรี,1,1,1
Chiang Rai Branch,เมืองกาญจนบุรี,1,1,1
Chiang Rai Branch,เมืองสุพรรณบุรี,1,1,1
Chiang Rai Branch,เมืองนครปฐม,1,1,1
Chiang Rai Branch,เมืองสมุทรสาคร,1,1,1
Chiang Rai Branch,เมืองสมุทรสงคราม,1,1,1
Chiang Rai Branch,เมืองเพชรบุรี,1,1,1
Chiang Rai Branch,เมืองประจวบคีรีขันธ์,1,1,1
Chiang Rai Branch,หัวหิน,1,1,1
Chiang Rai Branch,เมืองนครศรีธรรมราช,1,1,1
Chiang Rai Branch,เมืองกระบี่,1,1,1
Chiang Rai Branch,เมืองพังงา,1,1,1
Chiang Rai Branch,เมืองภูเก็ต,1,1,1
Chiang Rai Branch,กะทู้,1,1,1
Chiang Rai Branch,ถลาง,1,1,1
Chiang Rai Branch,สนามบินภูเก็ต,1,1,1
Chiang Rai Branch,เมืองสุราษฎร์ธานี,1,1,1
Chiang Rai Branch,เมืองระนอง,1,1,1
Chiang Rai Branch,เมืองชุมพร,1,1,1
Chiang Rai Branch,เมืองสงขลา,1,1,1
Chiang Rai Branch,เมืองสตูล,1,1,1
Chiang Rai Branch,เมืองตรัง,1,1,1
Chiang Rai Branch,เมืองพัทลุง,1,1,1
Pattaya Branch Branch,พื้นที่เขตชั้นใน,1,1,1
Pattaya Branch Branch,สนามบินสุวรรณภูมิ,1,1,1
Pattaya Branch Branch,สนามบินดอนเมือง,1,1,1
Pattaya Branch Branch,ทรู ลีสซิ่งสาขาลาดกระบัง,1,1,1
Pattaya Branch Branch,บางบ่อ,1,1,1
Pattaya Branch Branch,บางพลี,1,1,1
Pattaya Branch Branch,พระประแดง,1,1,1
Pattaya Branch Branch,พระสมุทรเจดีย์,1,1,1
Pattaya Branch Branch,บางเสาธง,1,1,1
Pattaya Branch Branch,เมืองนนทบุรี,1,1,1
Pattaya Branch Branch,เมืองปทุมธานี,1,1,1
Pattaya Branch Branch,พระนครศรีอยุธยา,1,1,1
Pattaya Branch Branch,เมืองอ่างทอง,1,1,1
Pattaya Branch Branch,เมืองลพบุรี,1,1,1
Pattaya Branch Branch,เมืองสิงห์บุรี,1,1,1
Pattaya Branch Branch,อินทร์บุรี,1,1,1
Pattaya Branch Branch,เมืองชัยนาท,1,1,1
Pattaya Branch Branch,เมืองสระบุรี,1,1,1
Pattaya Branch Branch,เมืองชลบุรี,1,1,1
Pattaya Branch Branch,เมืองระยอง,1,1,1
Pattaya Branch Branch,เมืองจันทบุรี,1,1,1
Pattaya Branch Branch,เมืองตราด,1,1,1
Pattaya Branch Branch,เมืองฉะเชิงเทรา,1,1,1
Pattaya Branch Branch,เมืองปราจีนบุรี,1,1,1
Pattaya Branch Branch,เมืองนครนายก,1,1,1
Pattaya Branch Branch,เมืองสระแก้ว,1,1,1
Pattaya Branch Branch,เขาใหญ่,1,1,1
Pattaya Branch Branch,เมืองบุรีรัมย์,1,1,1
Pattaya Branch Branch,เมืองสุรินทร์,1,1,1
Pattaya Branch Branch,เมืองศรีสะเกษ,1,1,1
Pattaya Branch Branch,เมืองอุบลราชธานี,1,1,1
Pattaya Branch Branch,เมืองยโสธร,1,1,1
Pattaya Branch Branch,เมืองชัยภูมิ,1,1,1
Pattaya Branch Branch,เมืองอำนาจเจริญ,1,1,1
Pattaya Branch Branch,เมืองบึงกาฬ,1,1,1
Pattaya Branch Branch,เมืองหนองบัวลำภู,1,1,1
Pattaya Branch Branch,เมืองขอนแก่น,1,1,1
Pattaya Branch Branch,เมืองอุดรธานี,1,1,1
Pattaya Branch Branch,เมืองเลย,1,1,1
Pattaya Branch Branch,เมืองหนองคาย,1,1,1
Pattaya Branch Branch,เมืองมหาสารคาม,1,1,1
Pattaya Branch Branch,เมืองร้อยเอ็ด,1,1,1
Pattaya Branch Branch,เมืองกาฬสินธุ์,1,1,1
Pattaya Branch Branch,เมืองสกลนคร,1,1,1
Pattaya Branch Branch,เมืองนครพนม,1,1,1
Pattaya Branch Branch,เมืองมุกดาหาร,1,1,1
Pattaya Branch Branch,เมืองเชียงใหม่,1,1,1
Pattaya Branch Branch,สนามบินเชียงใหม่,1,1,1
Pattaya Branch Branch,สถานีรถไฟเชียงใหม่,1,1,1
Pattaya Branch Branch,สถานีขนส่งเชียงใหม่ (อาเขต),1,1,1
Pattaya Branch Branch,เซ็นทรัล เฟสติวัล เชียงใหม่,1,1,1
Pattaya Branch Branch,จอมทอง,1,1,1
Pattaya Branch Branch,แม่แจ่ม,1,1,1
Pattaya Branch Branch,เชียงดาว,1,1,1
Pattaya Branch Branch,ดอยสะเก็ด,1,1,1
Pattaya Branch Branch,แม่แตง,1,1,1
Pattaya Branch Branch,แม่ริม,1,1,1
Pattaya Branch Branch,สะเมิง,1,1,1
Pattaya Branch Branch,ฝาง,1,1,1
Pattaya Branch Branch,แม่อาย,1,1,1
Pattaya Branch Branch,พร้าว,1,1,1
Pattaya Branch Branch,สันป่าตอง,1,1,1
Pattaya Branch Branch,สันกำแพง,1,1,1
Pattaya Branch Branch,สันทราย,1,1,1
Pattaya Branch Branch,หางดง,1,1,1
Pattaya Branch Branch,ฮอด,1,1,1
Pattaya Branch Branch,ดอยเต่า,1,1,1
Pattaya Branch Branch,อมก๋อย,1,1,1
Pattaya Branch Branch,สารภี,1,1,1
Pattaya Branch Branch,เวียงแหง,1,1,1
Pattaya Branch Branch,ไชยปราการ,1,1,1
Pattaya Branch Branch,แม่วาง,1,1,1
Pattaya Branch Branch,แม่ออน,1,1,1
Pattaya Branch Branch,ดอยหล่อ,1,1,1
Pattaya Branch Branch,กัลยาณิวัฒนา,1,1,1
Pattaya Branch Branch,เมืองลำพูน,1,1,1
Pattaya Branch Branch,เมืองลำปาง,1,1,1
Pattaya Branch Branch,เมืองอุตรดิตถ์,1,1,1
Pattaya Branch Branch,เมืองแพร่,1,1,1
Pattaya Branch Branch,เมืองน่าน,1,1,1
Pattaya Branch Branch,เมืองพะเยา,1,1,1
Pattaya Branch Branch,เมืองเชียงราย,1,1,1
Pattaya Branch Branch,สนามบินเชียงราย,1,1,1
Pattaya Branch Branch,เมืองแม่ฮ่องสอน,1,1,1
Pattaya Branch Branch,เมืองนครสวรรค์,1,1,1
Pattaya Branch Branch,เมืองอุทัยธานี,1,1,1
Pattaya Branch Branch,เมืองกำแพงเพชร,1,1,1
Pattaya Branch Branch,เมืองตาก,1,1,1
Pattaya Branch Branch,เมืองสุโขทัย,1,1,1
Pattaya Branch Branch,เมืองพิษณุโลก,1,1,1
Pattaya Branch Branch,เมืองพิจิตร,1,1,1
